id,year_birth,education,marital_status,income,kid_home,teen_home,registration_date,recency,amt_liquor,amt_vegetable,amt_meat,amt_fish,amt_chocolate,amt_commodity,num_deals,num_web_purchase,num_instore_purchase,web_visits_per_month,response,complain,country,lead_conversion
0,1986,Bachelor,Couple,7095100,0,0,05/04/13,66,239,10,554,254,87,54,1,3,9,1,0,0,SA,0
1,1962,Bachelor,Single,5709100,0,0,6/15/14,0,464,5,64,7,0,37,1,7,7,5,1,0,CA,1
9,1976,Master,Single,4609800,1,1,8/18/12,86,57,0,27,0,0,36,4,3,2,8,0,0,CA,0
13,1948,Doctorate,Single,2535800,0,1,7/22/13,57,19,0,5,0,0,8,2,1,3,6,0,0,SA,0
17,1972,Doctorate,Couple,6049100,0,1,09/06/13,81,637,47,237,12,19,76,4,6,7,5,0,0,SP,0
20,1966,Master,Couple,4689100,0,1,09/01/13,91,43,12,23,29,15,61,1,2,4,4,0,0,GER,0
22,1977,Bachelor,Single,4631000,1,0,12/03/12,99,185,2,88,15,5,14,2,6,5,8,0,0,SP,0
24,1961,Master,Couple,1714400,1,1,2/15/14,96,18,2,19,0,2,6,5,3,4,7,0,0,SA,0
25,1959,Bachelor,Couple,6514800,0,1,11/16/12,9,460,35,422,33,12,153,2,6,7,4,0,0,CA,0
35,1988,Bachelor,Couple,2554500,1,0,09/08/12,35,32,1,64,16,12,85,3,2,3,6,1,0,SP,0
48,1965,Bachelor,Couple,5576100,0,1,4/24/14,97,136,1,12,0,3,32,2,4,3,6,0,0,SP,1
49,1971,Bachelor,Single,2058700,1,0,05/11/14,39,2,3,6,4,1,9,1,1,2,7,0,0,CA,0
55,1964,Bachelor,Couple,5625300,0,1,12/07/12,83,509,0,65,7,11,5,4,7,9,6,0,0,SP,0
67,1973,Master,Single,4642300,1,1,9/18/13,6,68,0,16,0,0,8,3,2,4,7,0,0,SP,0
73,1954,Doctorate,Single,5141100,1,2,5/26/13,81,14,0,3,0,0,1,1,0,3,5,0,0,IND,0
75,1983,Master,Couple,4103900,0,0,7/25/13,32,34,11,137,179,61,45,1,8,5,8,0,0,US,0
78,1970,Bachelor,Couple,2529300,1,0,9/15/13,51,15,0,11,0,2,9,1,1,2,8,0,0,SP,0
87,1982,Master,Couple,2773300,1,0,8/26/13,16,0,7,5,26,2,17,2,2,3,7,0,0,GER,0
89,1976,Master,Couple,2221200,1,0,12/09/13,49,5,9,20,6,8,21,2,2,4,6,0,0,SA,0
92,1989,Bachelor,Single,3417600,1,0,05/12/14,12,5,7,24,19,14,20,4,3,4,6,0,0,CA,0
113,1952,Bachelor,Couple,3083300,1,1,7/16/13,33,11,0,7,3,1,6,2,1,3,5,0,0,SP,0
115,1967,Master,Single,4345600,0,1,3/26/13,0,275,11,68,25,7,7,3,5,8,5,0,0,IND,0
123,1952,Bachelor,Single,6704600,0,1,01/06/13,92,544,35,133,23,151,107,2,4,4,2,0,0,AUS,0
125,1959,Master,Couple,5308300,1,1,5/15/13,65,215,7,33,3,0,13,6,5,5,7,0,0,IND,1
143,1971,Bachelor,Single,6120900,0,0,8/25/13,73,466,0,224,119,49,99,1,5,4,2,0,0,US,0
146,1961,Doctorate,Single,7604500,0,0,11/15/13,78,760,53,400,17,93,0,1,4,11,2,0,0,SP,1
153,1954,Bachelor,Single,2327200,0,0,10/17/13,29,19,3,6,4,2,12,1,1,3,4,0,0,SP,0
158,1946,Doctorate,Couple,7160400,0,0,11/17/13,3,345,53,528,98,75,97,1,8,5,4,1,0,SP,1
164,1978,Doctorate,Couple,2897300,0,0,10/13/12,59,206,0,46,3,2,12,2,5,5,8,0,0,SP,0
175,1987,Bachelor,Couple,7195200,1,0,01/10/13,93,656,80,455,52,107,93,2,8,8,4,0,0,SP,2
176,1981,Master,Single,6750600,0,1,01/02/14,73,90,38,67,33,36,67,1,4,6,3,0,0,SP,0
178,1957,Bachelor,Couple,6250300,0,1,2/18/13,40,478,0,193,110,75,117,4,8,11,5,0,0,SP,0
182,1947,Doctorate,Couple,4412400,0,1,05/11/13,62,284,0,55,0,6,52,4,6,5,8,0,0,SP,0
193,1997,High School / Below,Couple,1442100,0,0,2/17/14,81,0,0,2,3,3,8,1,1,2,5,0,0,SP,1
194,1966,Bachelor,Couple,4800600,1,1,06/09/14,55,23,0,11,3,2,2,1,1,3,6,0,0,SP,0
195,1973,Bachelor,Single,3880800,1,0,8/26/12,21,125,17,52,3,19,30,4,5,4,8,1,0,SP,1
199,1963,Master,Single,4518300,0,0,1/20/13,33,219,3,60,12,9,12,1,4,7,7,0,0,CA,1
202,1949,Doctorate,Single,8203200,0,0,04/05/14,54,332,194,377,149,125,57,0,4,7,1,0,0,IND,0
203,1976,Master,Single,8116900,0,0,4/14/13,47,1288,20,613,80,61,27,1,5,9,2,0,0,SP,0
213,1964,Doctorate,Single,2309100,1,1,5/28/14,98,35,0,11,0,0,2,4,2,3,7,0,0,SP,0
217,1957,Master,Single,6485700,0,0,11/23/12,78,556,14,717,210,0,43,1,7,10,4,0,0,CA,0
221,1956,Bachelor,Couple,4872600,0,1,4/27/13,90,138,3,38,4,0,59,3,3,4,6,0,0,GER,0
231,1957,Master,Couple,2883900,1,1,03/11/14,86,24,0,7,0,0,1,2,2,3,5,0,0,SP,0
232,1966,Bachelor,Single,6155900,0,1,7/17/13,8,279,83,88,32,14,34,1,4,10,3,0,0,SP,0
234,1980,Bachelor,Single,1528700,1,0,10/10/12,60,1,2,8,4,3,13,2,1,2,7,1,0,SP,1
236,1952,Bachelor,Couple,3483800,1,1,1/19/13,62,28,23,29,29,14,47,3,2,4,6,0,0,CA,0
238,1968,Master,Couple,6730900,1,1,1/23/13,76,515,47,181,149,95,95,15,9,9,7,0,0,SP,0
241,1953,Bachelor,Couple,8384400,0,0,05/12/13,57,901,31,345,75,31,191,1,4,11,1,0,0,SP,1
246,1966,Bachelor,Couple,6648000,1,1,5/31/14,71,199,9,57,20,21,6,7,4,7,4,0,0,SP,0
247,1972,Bachelor,Couple,3671500,1,0,11/17/12,16,172,10,125,21,13,16,6,7,4,9,1,0,SP,0
252,1964,Doctorate,Single,4100300,0,0,3/17/13,11,123,133,142,71,44,88,1,6,8,6,0,0,SA,0
254,1956,Bachelor,Couple,5386300,0,1,5/17/14,4,399,4,30,6,4,30,3,7,7,7,0,0,SP,1
255,1952,Bachelor,Single,2226300,1,1,3/30/14,31,17,0,2,0,0,2,2,1,3,6,0,1,SP,0
257,1960,Doctorate,Couple,7503200,0,1,4/28/13,74,952,12,180,47,12,12,2,5,9,3,0,0,SP,0
263,1946,Doctorate,Single,4557600,0,0,5/28/14,9,56,19,29,2,14,25,1,3,3,8,1,0,SP,0
269,1964,Doctorate,Single,4675700,0,1,11/16/12,71,777,30,163,0,51,122,6,4,7,9,0,0,SP,0
271,1970,Bachelor,Single,4059000,1,1,10/02/13,30,154,0,50,6,11,37,5,3,3,6,0,0,CA,1
273,1971,Master,Couple,3613800,1,1,7/16/13,48,130,0,16,0,0,5,5,3,4,7,0,0,GER,1
274,1974,Bachelor,Single,3485300,1,1,12/23/13,75,9,3,15,2,3,2,2,2,3,6,0,0,GER,0
286,1953,Bachelor,Single,4421300,1,1,11/29/13,48,95,11,35,0,4,7,4,2,5,6,0,0,SP,0
291,1971,Bachelor,Couple,7294000,0,0,6/19/13,13,182,74,298,162,149,116,1,3,6,1,0,0,SA,0
295,1990,Bachelor,Single,8121700,0,0,7/19/13,77,493,70,324,146,40,84,1,3,11,1,0,0,SP,0
304,1982,Master,Single,2294400,1,0,12/23/13,67,19,3,19,4,5,26,3,3,3,7,0,0,SP,0
309,1962,Doctorate,Couple,6334200,0,1,10/16/12,48,918,21,118,13,10,21,3,8,5,6,0,0,SA,1
310,1971,Master,Couple,6187200,0,1,12/13/13,81,330,5,159,36,27,16,4,4,9,4,0,0,CA,0
313,1969,Bachelor,Single,7345500,0,0,10/28/13,98,901,61,757,186,163,20,1,6,10,3,0,0,SA,1
322,1979,Bachelor,Couple,4255400,1,1,01/12/13,93,29,1,11,0,0,0,2,2,3,4,0,0,AUS,0
326,1974,Bachelor,Couple,5114800,1,1,2/18/13,38,235,6,45,8,9,12,4,5,6,6,0,0,IND,0
332,1958,Bachelor,Couple,4774300,0,1,3/22/13,56,198,2,43,0,12,20,3,4,6,6,0,0,SP,1
339,1973,Doctorate,Couple,5709100,0,1,11/23/12,82,462,0,24,6,0,4,2,9,5,7,1,0,SP,1
340,1971,Bachelor,Single,7296700,0,1,12/15/12,1,158,35,179,0,0,125,2,7,8,5,1,0,GER,1
347,1977,Bachelor,Single,4078000,0,1,09/08/12,30,229,27,71,13,3,34,4,7,5,9,0,0,CA,0
359,1951,Bachelor,Couple,4807000,0,1,1/13/13,33,373,14,83,6,9,19,3,8,6,7,0,1,SP,0
361,1970,Master,Couple,4314200,1,1,2/18/14,84,5,1,7,2,1,4,1,1,2,7,0,0,AUS,0
367,1979,Master,Couple,3655000,1,0,2/19/13,74,47,90,94,123,103,120,5,9,5,9,0,0,CA,0
